KCAT	Sphingobium chlorophenolicum	-999	more	*
KCAT	Sphingobium chlorophenolicum	0.01	3,4,5-trichlorophenol	*pH 7.0, 22&deg;C
KCAT	Sphingobium chlorophenolicum	0.01	3,5-dichlorophenol	*pH 7.0, 22&deg;C
KCAT	Sphingobium chlorophenolicum	0.02	Pentachlorophenol	*pH 7.0, 22&deg;C
KCAT	Sphingobium chlorophenolicum	0.024	Pentachlorophenol	*pH 7.0, 22&deg;C
KCAT	Sphingobium chlorophenolicum	0.046	2,6-dichlorophenol	*pH 7.0, 22&deg;C
KCAT	Sphingobium chlorophenolicum	0.32	2,3,5,6-Tetrachlorophenol	*pH 7.0, 22&deg;C
KCAT	Sphingobium chlorophenolicum	4100	Pentachlorophenol	*pH 7.0, 25&deg;C, recombinant mutant Y216F
KCAT	Sphingobium chlorophenolicum	9300	Pentachlorophenol	*pH 7.0, 25&deg;C, recombinant wild-type enzyme
KCAT	Sphingobium chlorophenolicum	15200	Pentachlorophenol	*pH 7.0, 25&deg;C, recombinant mutant R235K
KCAT	Sphingobium chlorophenolicum	16000	Pentachlorophenol	*pH 7.0, 25&deg;C, recombinant mutant Y39F
