KCAT	Pyrococcus furiosus	-999	more	*
KCAT	Thermus brockianus	0.0017	maltotriose	*mutant F251G, pH 6.0, 70&deg;C
KCAT	Thermus brockianus	0.005	maltotriose	*mutant W258G, pH 6.0, 70&deg;C
KCAT	Saccharolobus solfataricus	0.0113	maltosyl-beta-cyclodextrin	*pH 5.5, 75&deg;C
KCAT	Thermus brockianus	0.015	maltotriose	*wild-type, pH 6.0, 70&deg;C
KCAT	Corynebacterium glutamicum	0.036	maltotriose	*mutant Y172A, pH 6.0, 30&deg;C
KCAT	Thermus brockianus	0.08	maltotriose	*mutant Q256G, pH 6.0, 70&deg;C
KCAT	Corynebacterium glutamicum	0.157	maltotriose	*wild-type, pH 6.0, 30&deg;C
KCAT	Thermus thermophilus	0.68	maltotriose	*pH 5.5, 70&deg;C, mutant D249S
KCAT	Thermus thermophilus	0.97	maltotetraose	*pH 5.5, 70&deg;C, mutant D249S
KCAT	Aquifex aeolicus	1.3	maltose	*pH 6.6, 70&deg;C
KCAT	Thermus thermophilus	1.99	maltoheptaose	*pH 5.5, 70&deg;C, mutant D249S
KCAT	Thermus thermophilus	3.26	maltohexaose	*pH 5.5, 70&deg;C, mutant D249S
KCAT	Thermus thermophilus	3.98	maltopentaose	*pH 5.5, 70&deg;C, mutant D249S
KCAT	Pyrobaculum aerophilum	8.7	maltoheptaose	*pH 6.7, 80&deg;C
KCAT	Pyrobaculum aerophilum	8.9	maltohexaose	*pH 6.7, 80&deg;C
KCAT	Aquifex aeolicus	16	maltoheptaose	*pH 6.6, 70&deg;C
KCAT	Aquifex aeolicus	17	maltotetraose	*pH 6.6, 70&deg;C
KCAT	Aquifex aeolicus	18	maltotriose	*pH 6.6, 70&deg;C
KCAT	Aquifex aeolicus	22	maltohexaose	*pH 6.6, 70&deg;C
KCAT	Aquifex aeolicus	22	maltopentaose	*pH 6.6, 70&deg;C
KCAT	Pyrobaculum aerophilum	24.8	maltopentaose	*pH 6.7, 80&deg;C
KCAT	Pyrobaculum aerophilum	51.2	maltotetraose	*pH 6.7, 80&deg;C
KCAT	Thermus thermophilus	106	maltotetraose	*pH 5.5, 70&deg;C, mutant F366L
KCAT	Thermus thermophilus	111	maltotriose	*pH 5.5, 70&deg;C, mutant F366L
KCAT	Pyrobaculum aerophilum	115	maltotriose	*pH 6.7, 80&deg;C
KCAT	Thermus thermophilus	159	maltoheptaose	*pH 5.5, 70&deg;C, mutant F366L
KCAT	Thermus thermophilus	179	maltopentaose	*pH 5.5, 70&deg;C, mutant F366L
KCAT	Thermus thermophilus	188	maltohexaose	*pH 5.5, 70&deg;C, mutant F366L
KCAT	Thermus thermophilus	213	maltoheptaose	*pH 5.5, 70&deg;C, wild-type enzyme
KCAT	Thermus thermophilus	304	maltohexaose	*pH 5.5, 70&deg;C, wild-type enzyme
KCAT	Thermus thermophilus	317	maltotriose	*pH 5.5, 70&deg;C, wild-type enzyme
KCAT	Thermus thermophilus	329	maltopentaose	*pH 5.5, 70&deg;C, wild-type enzyme
KCAT	Thermus thermophilus	425	maltotetraose	*pH 5.5, 70&deg;C, wild-type enzyme
KCAT	Arabidopsis thaliana	580	maltotriose	*at pH 7.0 and 37 &deg;C
KCAT	Manihot esculenta	894	maltotriose	*at pH 7.0 and 37 &deg;C
