KCAT	Lactobacillus plantarum WCFS1	3.4	benzyl alcohol	*pH 5.0, 30&deg;C
KCAT	Pseudomonas putida	18	benzyl alcohol	*
KCAT	Streptomyces sp.	25.8	coniferyl alcohol	*recombinant enzyme, pH 8.5, 30&deg;C
KCAT	Acinetobacter calcoaceticus	37	3-methyl-2-buten-1-ol	*
KCAT	Acinetobacter calcoaceticus	41	3-methyl-2-buten-1-ol	*
KCAT	Streptomyces sp.	53.7	NAD+	*pH 8.0, 30&deg;C
KCAT	Acinetobacter calcoaceticus	63	benzyl alcohol	*
KCAT	Streptomyces sp.	69.7	coniferyl alcohol	*pH 8.0, 30&deg;C
KCAT	Streptomyces sp.	69.7	coniferyl alcohol	*native enzyme, pH 8.5, 30&deg;C
KCAT	Acinetobacter calcoaceticus	80	4-Hydroxybenzyl alcohol	*
KCAT	Acinetobacter calcoaceticus	83	perillyl alcohol	*
KCAT	Thauera sp.	85	benzyl alcohol	*
KCAT	Acinetobacter calcoaceticus	116	4-methoxybenzyl alcohol	*
KCAT	Streptomyces sp.	116	cinnamyl alcohol	*pH 8.0, 30&deg;C
KCAT	Acinetobacter calcoaceticus	131	benzyl alcohol	*
KCAT	Acinetobacter calcoaceticus	141	cinnamyl alcohol	*
KCAT	Acinetobacter calcoaceticus	144	4-Isopropylbenzyl alcohol	*
KCAT	Acinetobacter calcoaceticus	156	3-Methoxybenzyl alcohol	*
KCAT	Pseudomonas putida	228	benzyl alcohol	*
KCAT	Streptomyces sp.	354	coniferyl aldehyde	*pH 8.0, 30&deg;C
KCAT	Pseudomonas putida	622	benzaldehyde	*
KCAT	Acinetobacter baylyi	8920	NADH	*pH 7.4, 30&deg;C
KCAT	Acinetobacter baylyi	12940	benzaldehyde	*pH 7.4, 30&deg;C
