KCAT	Saccharomyces cerevisiae	5.6	acetaldehyde	*in the presence of NADPH
KCAT	Saccharomyces cerevisiae	55	propanal	*presence of NADPH
KCAT	Saccharomyces cerevisiae	84	propanal	*presence of NADH
KCAT	Saccharomyces cerevisiae	47.3	Butanal	*presence of NADH
KCAT	Saccharomyces cerevisiae	57	Butanal	*presence of NADPH
KCAT	Saccharomyces cerevisiae	50.1	hexanal	*presence of NADH
KCAT	Saccharomyces cerevisiae	71.1	hexanal	*presence of NADPH
KCAT	Saccharomyces cerevisiae	56.6	pentanal	*presence of NADPH
KCAT	Saccharomyces cerevisiae	81.6	pentanal	*presence of NADH
KCAT	Saccharomyces cerevisiae	72.9	Heptanal	*presence of NADPH
KCAT	Saccharomyces cerevisiae	101	Heptanal	*presence of NADH
KCAT	Saccharomyces cerevisiae	2.55	Hexanol	*in the presence of NADP+
KCAT	Saccharomyces cerevisiae	1.4	3-Methylbutanal	*mutant Y128A, pH 7.5, 30&Acirc;&deg;C
KCAT	Saccharomyces cerevisiae	5.9	3-Methylbutanal	*mutant F85A, pH 7.5, 30&Acirc;&deg;C
KCAT	Saccharomyces cerevisiae	9.3	3-Methylbutanal	*mutant Y198A, pH 7.5, 30&Acirc;&deg;C
KCAT	Saccharomyces cerevisiae	15.5	3-Methylbutanal	*mutant Y198F, pH 7.5, 30&Acirc;&deg;C
KCAT	Saccharomyces cerevisiae	23.2	3-Methylbutanal	*wild-type, pH 7.5, 30&Acirc;&deg;C
KCAT	Saccharomyces cerevisiae	38.9	3-Methylbutanal	*mutant Y128F, pH 7.5, 30&Acirc;&deg;C
KCAT	Saccharomyces cerevisiae	52.6	3-Methylbutanal	*mutant V162A, pH 7.5, 30&Acirc;&deg;C
KCAT	Saccharomyces cerevisiae	62.4	3-Methylbutanal	*mutant F132A, pH 7.5, 30&Acirc;&deg;C
KCAT	Saccharomyces cerevisiae	74.9	3-Methylbutanal	*presence of NADPH
KCAT	Saccharomyces cerevisiae	91.8	3-Methylbutanal	*presence of NADH
KCAT	Saccharomyces cerevisiae	92.3	2-methylbutanal	*presence of NADH
KCAT	Saccharomyces cerevisiae	113	2-methylbutanal	*presence of NADPH
KCAT	Saccharomyces cerevisiae	14	trans-2-hexenol	*in the presence of NADP+
