KCAT	Aspergillus niger	22	chlorogenic acid	*37&Acirc;&deg;C
KCAT	Ustilago maydis	7.1	methyl ferulate	*pH 7.5, 37&Acirc;&deg;C
KCAT	Ustilago maydis	7.3	methyl p-coumarate	*pH 7.5, 37&Acirc;&deg;C
KCAT	Rhizoctonia solani	33.1	methyl p-coumarate	*pH 6.0, 37&Acirc;&deg;C
KCAT	Ustilago maydis	1.9	methyl caffeate	*pH 7.5, 37&Acirc;&deg;C
KCAT	Bacillus amyloliquefaciens	6.52	chlorogenate	*pH 8.0, 35&Acirc;&deg;C
KCAT	Bacillus amyloliquefaciens	12.06	chlorogenate	*pH 8.0, 40&Acirc;&deg;C
KCAT	Ustilago maydis	19	chlorogenate	*pH 7.5, 37&Acirc;&deg;C
KCAT	Rhizoctonia solani	29.3	chlorogenate	*pH 6.0, 37&Acirc;&deg;C
KCAT	Bacillus amyloliquefaciens	275	chlorogenate	*pH 8.0, 30&Acirc;&deg;C
