KCAT	Oryza sativa	-999	more	*
KCAT	Triticum aestivum	-999	more	*
KCAT	Saccharolobus solfataricus	1.51	3-phospho-D-glycerate	*65&deg;C, pH not specified in the publication
KCAT	Saccharolobus solfataricus	2.04	2-phospho-D-glycerate	*65&deg;C, pH not specified in the publication
KCAT	Saccharolobus solfataricus	2.18	3-phospho-D-glycerate	*70&deg;C, pH not specified in the publication
KCAT	Saccharolobus solfataricus	2.31	2-phospho-D-glycerate	*70&deg;C, pH not specified in the publication
KCAT	Saccharolobus solfataricus	3.01	3-phospho-D-glycerate	*80&deg;C, pH not specified in the publication
KCAT	Saccharolobus solfataricus	4.01	2-phospho-D-glycerate	*80&deg;C, pH not specified in the publication
KCAT	Entamoeba histolytica	6.4	2-phospho-D-glycerate	*pH 6.0, 37&deg;C
KCAT	Entamoeba histolytica	14	2-phospho-D-glycerate	*pH 7.0, 37&deg;C
KCAT	Trypanosoma brucei	19.6	3-phospho-D-glycerate	*recombinant enzyme, pH 7.4, 37&deg;C
KCAT	Entamoeba histolytica	45	3-phospho-D-glycerate	*pH 7.0, 37&deg;C
KCAT	Entamoeba histolytica	57	3-phospho-D-glycerate	*pH 6.0, 37&deg;C
KCAT	Wolbachia endosymbiont of Dirofilaria immitis	102	3-phospho-D-glycerate	*in 30 mM Tris-HCl, 5 mM MgSO4, 20 mM KCl, pH 7.5, at 30&deg;C
KCAT	Wolbachia sp.	102	3-phospho-D-glycerate	*recombinant His-tagged enzyme, pH 7.5, 30&deg;C
KCAT	Dirofilaria immitis	132	3-phospho-D-glycerate	*in 30 mM Tris-HCl, 5 mM MgSO4, 20 mM KCl, pH 7.5, at 30&deg;C; recombinant His-tagged enzyme, pH 7.5, 30&deg;C
KCAT	Leishmania mexicana	199	2-phospho-D-glycerate	*pH 7.6, 25&deg;C
KCAT	Leishmania mexicana	434	3-phospho-D-glycerate	*pH 7.6, 25&deg;C
